Sentence #,Word,Tag
Sentence: 1,reset,B-password_reset
Sentence: 1,our,I-password_reset
Sentence: 1,password,L-password_reset
Sentence: 2,unlock,B-password_reset
Sentence: 2,password,L-password_reset
Sentence: 3,unlock,B-password_reset
Sentence: 3,my,I-password_reset
Sentence: 3,passwd,L-password_reset
Sentence: 4,our,B-password_reset
Sentence: 4,pwd,I-password_reset
Sentence: 4,unlock,L-password_reset
Sentence: 5,reset,B-password_reset
Sentence: 5,pass,L-password_reset
Sentence: 6,unlock,B-password_reset
Sentence: 6,password,L-password_reset
Sentence: 7,passwd,B-password_reset
Sentence: 7,unlock,L-password_reset
Sentence: 8,our,B-password_reset
Sentence: 8,password,I-password_reset
Sentence: 8,give,I-password_reset
Sentence: 8,me,I-password_reset
Sentence: 8,again,L-password_reset
Sentence: 9,give,B-password_reset
Sentence: 9,me,I-password_reset
Sentence: 9,again,I-password_reset
Sentence: 9,the,I-password_reset
Sentence: 9,pass,L-password_reset
Sentence: 10,pwd,B-password_reset
Sentence: 10,set,I-password_reset
Sentence: 10,again,L-password_reset
Sentence: 11,my,B-password_reset
Sentence: 11,pass,I-password_reset
Sentence: 11,unlock,L-password_reset
Sentence: 12,the,B-password_reset
Sentence: 12,password,I-password_reset
Sentence: 12,set,I-password_reset
Sentence: 12,again,L-password_reset
Sentence: 13,reset,B-password_reset
Sentence: 13,pass,L-password_reset
Sentence: 14,the,B-password_reset
Sentence: 14,password,I-password_reset
Sentence: 14,unlock,L-password_reset
Sentence: 15,pwd,B-password_reset
Sentence: 15,unlock,L-password_reset
Sentence: 16,our,B-password_reset
Sentence: 16,password,I-password_reset
Sentence: 16,give,I-password_reset
Sentence: 16,me,I-password_reset
Sentence: 16,again,L-password_reset
Sentence: 17,set,B-password_reset
Sentence: 17,again,I-password_reset
Sentence: 17,pwd,L-password_reset
Sentence: 18,the,B-password_reset
Sentence: 18,passwd,I-password_reset
Sentence: 18,unlock,L-password_reset
Sentence: 19,set,B-password_reset
Sentence: 19,again,I-password_reset
Sentence: 19,pwd,L-password_reset
Sentence: 20,give,B-password_reset
Sentence: 20,me,I-password_reset
Sentence: 20,again,I-password_reset
Sentence: 20,our,I-password_reset
Sentence: 20,pwd,L-password_reset
Sentence: 21,set,B-password_reset
Sentence: 21,again,I-password_reset
Sentence: 21,password,L-password_reset
Sentence: 22,pwd,B-password_reset
Sentence: 22,reset,L-password_reset
Sentence: 23,unlock,B-password_reset
Sentence: 23,my,I-password_reset
Sentence: 23,password,L-password_reset
Sentence: 24,set,B-password_reset
Sentence: 24,again,I-password_reset
Sentence: 24,pass,L-password_reset
Sentence: 25,password,B-password_reset
Sentence: 25,set,I-password_reset
Sentence: 25,again,L-password_reset
Sentence: 26,passwd,B-password_reset
Sentence: 26,reset,L-password_reset
Sentence: 27,set,B-password_reset
Sentence: 27,again,I-password_reset
Sentence: 27,the,I-password_reset
Sentence: 27,password,L-password_reset
Sentence: 28,pass,B-password_reset
Sentence: 28,reset,L-password_reset
Sentence: 29,our,B-password_reset
Sentence: 29,passwd,I-password_reset
Sentence: 29,set,I-password_reset
Sentence: 29,again,L-password_reset
Sentence: 30,give,B-password_reset
Sentence: 30,me,I-password_reset
Sentence: 30,again,I-password_reset
Sentence: 30,passwd,L-password_reset
Sentence: 31,the,B-password_reset
Sentence: 31,pass,I-password_reset
Sentence: 31,reset,L-password_reset
Sentence: 32,unlock,B-password_reset
Sentence: 32,passwd,L-password_reset
Sentence: 33,set,B-password_reset
Sentence: 33,again,I-password_reset
Sentence: 33,the,I-password_reset
Sentence: 33,password,L-password_reset
Sentence: 34,pass,B-password_reset
Sentence: 34,set,I-password_reset
Sentence: 34,again,L-password_reset
Sentence: 35,my,B-password_reset
Sentence: 35,pass,I-password_reset
Sentence: 35,set,I-password_reset
Sentence: 35,again,L-password_reset
Sentence: 36,unlock,B-password_reset
Sentence: 36,the,I-password_reset
Sentence: 36,passwd,L-password_reset
Sentence: 37,our,B-password_reset
Sentence: 37,password,I-password_reset
Sentence: 37,give,I-password_reset
Sentence: 37,me,I-password_reset
Sentence: 37,again,L-password_reset
Sentence: 38,set,B-password_reset
Sentence: 38,again,I-password_reset
Sentence: 38,our,I-password_reset
Sentence: 38,pass,L-password_reset
Sentence: 39,the,B-password_reset
Sentence: 39,pass,I-password_reset
Sentence: 39,unlock,L-password_reset
Sentence: 40,the,B-password_reset
Sentence: 40,pwd,I-password_reset
Sentence: 40,unlock,L-password_reset
Sentence: 41,set,B-password_reset
Sentence: 41,again,I-password_reset
Sentence: 41,our,I-password_reset
Sentence: 41,passwd,L-password_reset
Sentence: 42,unlock,B-password_reset
Sentence: 42,pwd,L-password_reset
Sentence: 43,unlock,B-password_reset
Sentence: 43,pwd,L-password_reset
Sentence: 44,reset,B-password_reset
Sentence: 44,my,I-password_reset
Sentence: 44,pass,L-password_reset
Sentence: 45,reset,B-password_reset
Sentence: 45,pwd,L-password_reset
Sentence: 46,password,B-password_reset
Sentence: 46,reset,L-password_reset
Sentence: 47,give,B-password_reset
Sentence: 47,me,I-password_reset
Sentence: 47,again,I-password_reset
Sentence: 47,my,I-password_reset
Sentence: 47,pwd,L-password_reset
Sentence: 48,set,B-password_reset
Sentence: 48,again,I-password_reset
Sentence: 48,passwd,L-password_reset
Sentence: 49,our,B-password_reset
Sentence: 49,pass,I-password_reset
Sentence: 49,set,I-password_reset
Sentence: 49,again,L-password_reset
Sentence: 50,pwd,B-password_reset
Sentence: 50,unlock,L-password_reset
Sentence: 51,please,O
Sentence: 51,my,B-password_reset
Sentence: 51,password,I-password_reset
Sentence: 51,give,I-password_reset
Sentence: 51,me,I-password_reset
Sentence: 51,again,L-password_reset
Sentence: 52,please,O
Sentence: 52,our,B-password_reset
Sentence: 52,password,I-password_reset
